Algorithm,User,Threshold,LearningRate,Discount,Epsilon,Accuracy,StateAccuracy,Reward
TAMER-Q,data/NDSI-2D/U_8,0.7,0.001,0.05,0.05,0.7719298245614035,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.8,0.001,0.1,0.01,0.7538461538461538,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.9,0.1,0.8,0.01,0.7534246575342466,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.05,0.001,0.5,0.05,0.8,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.1,0.0001,0.05,0.01,0.7272727272727273,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.2,0.0001,0.8,0.01,0.8181818181818182,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.3,0.001,0.2,0.1,0.696969696969697,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.4,0.0001,0.8,0.01,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.5,0.001,0.9,0.05,0.6428571428571429,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.6,0.01,0.05,0.1,0.6417910447761194,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.7,0.01,0.8,0.01,0.7307692307692307,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.8,0.0001,0.2,0.01,0.7191011235955056,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_9,0.9,0.1,0.05,0.1,0.7,"[None, None, None]",0
