User,Accuracy,Threshold,LearningRate,Discount,Algorithm
stu39_adf_p4,0.11363636363636363,0.8,0,0,HMM
stu39_adf_p4,0.45454545454545453,0.9,0,0,HMM
stu3_acf_p4,0.6820083682008368,0.05,0,0,HMM
stu3_acf_p4,0.6784140969162996,0.1,0,0,HMM
stu3_acf_p4,0.16336633663366337,0.2,0,0,HMM
stu3_acf_p4,0.14124293785310735,0.3,0,0,HMM
stu3_acf_p4,0.23026315789473684,0.4,0,0,HMM
stu3_acf_p4,0.25396825396825395,0.5,0,0,HMM
stu3_acf_p4,0.42574257425742573,0.6,0,0,HMM
stu3_acf_p4,0.40789473684210525,0.7,0,0,HMM
stu3_acf_p4,0.803921568627451,0.8,0,0,HMM
stu3_acf_p4,0.6923076923076923,0.9,0,0,HMM
stu4_ade_p4,0.42105263157894735,0.05,0,0,HMM
stu4_ade_p4,0.3888888888888889,0.1,0,0,HMM
stu4_ade_p4,0.375,0.2,0,0,HMM
stu4_ade_p4,0.2857142857142857,0.3,0,0,HMM
stu4_ade_p4,0.3611111111111111,0.4,0,0,HMM
stu4_ade_p4,0.26666666666666666,0.5,0,0,HMM
stu4_ade_p4,0.12,0.6,0,0,HMM
stu4_ade_p4,0.21052631578947367,0.7,0,0,HMM
stu4_ade_p4,0.15384615384615385,0.8,0,0,HMM
stu4_ade_p4,0.42857142857142855,0.9,0,0,HMM
stu6_acf_p4,0.1650485436893204,0.05,0,0,HMM
stu6_acf_p4,0.19487179487179487,0.1,0,0,HMM
stu6_acf_p4,0.017241379310344827,0.2,0,0,HMM
stu6_acf_p4,0.1118421052631579,0.3,0,0,HMM
stu6_acf_p4,0.13740458015267176,0.4,0,0,HMM
stu6_acf_p4,0.1834862385321101,0.5,0,0,HMM
stu6_acf_p4,0.08045977011494253,0.6,0,0,HMM
stu6_acf_p4,0.10606060606060606,0.7,0,0,HMM
stu6_acf_p4,0.25,0.8,0,0,HMM
stu6_acf_p4,0.08695652173913043,0.9,0,0,HMM
stu7_ade_p4,0.4195804195804196,0.05,0,0,HMM
stu7_ade_p4,0.3014705882352941,0.1,0,0,HMM
stu7_ade_p4,0.3140495867768595,0.2,0,0,HMM
stu7_ade_p4,0.2641509433962264,0.3,0,0,HMM
stu7_ade_p4,0.26373626373626374,0.4,0,0,HMM
stu7_ade_p4,0.2631578947368421,0.5,0,0,HMM
stu7_ade_p4,0.4262295081967213,0.6,0,0,HMM
stu7_ade_p4,0.3695652173913043,0.7,0,0,HMM
stu7_ade_p4,0.41935483870967744,0.8,0,0,HMM
stu7_ade_p4,0.125,0.9,0,0,HMM
